ext,name,value
6007,credit,0.00000
6007,reminder,0.00000
6007,billing_type,internal
6007,my_account,
6007,package_date,
6007,balance,0
6005,balance,0
6006,balance,0
1102,balance,0
3333,credit,0.00000
3333,reminder,0.00000
3333,billing_type,internal
3333,my_account,
3333,balance,0
6008,credit,0.00000
6008,reminder,0.00000
6008,billing_type,internal
6008,my_account,
6008,package_date,
6008,balance,0
4445,credit,0.00000
4445,reminder,0.00000
4445,billing_type,internal
4445,my_account,
4445,package_date,
4446,credit,0.00000
4446,reminder,0.00000
4446,billing_type,internal
4446,my_account,
4445,balance,0
4446,balance,0
2226,credit,0.00000
2226,reminder,0.00000
2226,billing_type,internal
2226,my_account,
2226,package_date,
2226,balance,0
1145,credit,0.00000
1145,reminder,0.00000
1145,billing_type,internal
1145,my_account,
3336,package_date,
3337,credit,0.00000
3337,reminder,0.00000
3337,billing_type,internal
3337,my_account,
3337,package_date,
3338,credit,0.00000
3338,reminder,0.00000
3338,billing_type,internal
3338,my_account,
3338,package_date,
3338,balance,0
3337,balance,0
3328,credit,0.00000
3328,reminder,0.00000
3328,billing_type,internal
3328,my_account,
3328,package_date,
3328,balance,0
1145,balance,0
2215,credit,0.00000
2215,reminder,0.00000
2215,billing_type,internal
2215,my_account,
2215,package_date,
2212,credit,0.00000
2212,reminder,0.00000
2212,billing_type,internal
2212,my_account,
2212,package_date,
2215,balance,0
2212,balance,0
2222,credit,0.00000
2222,reminder,0.00000
2222,billing_type,internal
2222,my_account,
2222,package_date,
4002,credit,0.00000
4002,reminder,0.00000
4002,billing_type,internal
4002,my_account,
4002,package_date,
4002,balance,0
2219,credit,0.00000
2219,reminder,0.00000
2219,billing_type,internal
2219,my_account,
2219,package_date,
2217,credit,0.00000
2217,reminder,0.00000
2217,billing_type,internal
2217,my_account,
2217,package_date,
2217,balance,0
2219,balance,0
3339,credit,0.00000
3339,reminder,0.00000
3339,billing_type,internal
3339,my_account,
3339,package_date,
3340,credit,0.00000
3340,reminder,0.00000
3340,billing_type,internal
3340,my_account,
3340,package_date,
3339,balance,0
5013,credit,0.00000
5013,reminder,0.00000
5013,billing_type,internal
5013,my_account,
5013,package_date,
5013,balance,0
1110,credit,0.00000
1110,reminder,0.00000
1110,billing_type,internal
1110,my_account,
1110,package_date,
1110,balance,0
6009,credit,0.00000
6009,reminder,0.00000
6009,billing_type,internal
6009,my_account,
6009,package_date,
6010,credit,0.00000
6010,reminder,0.00000
6010,billing_type,internal
6010,my_account,
6010,package_date,
6011,credit,0.00000
6011,reminder,0.00000
6011,billing_type,internal
6011,my_account,
6011,package_date,
3322,credit,0.00000
3322,reminder,0.00000
3322,billing_type,internal
3322,my_account,
3322,package_date,
3322,balance,0
6010,balance,0
6009,balance,0
6011,balance,0
6012,credit,0.00000
6012,reminder,0.00000
6012,billing_type,internal
6012,my_account,
6012,package_date,
6012,balance,0
6013,credit,0.00000
6013,reminder,0.00000
6013,billing_type,internal
6013,my_account,
6013,package_date,
6014,credit,0.00000
6014,reminder,0.00000
6014,billing_type,internal
6014,my_account,
6014,balance,0
6013,balance,0
1150,credit,0.00000
1150,reminder,0.00000
1150,billing_type,internal
1150,my_account,
1150,package_date,
2216,credit,0.00000
2216,reminder,0.00000
2216,billing_type,internal
2216,my_account,
2216,package_date,
2216,balance,0
